session,day,mode,bpm,successful_trials,clean_ratio
1,1,1,60,3,0.75
1,1,1,70,1,0.25
1,1,1,80,3,0.75
1,1,1,90,1,0.25
1,1,1,100,1,0.25
1,1,1,110,2,0.5
1,1,2,60,3,0.75
1,1,2,70,1,0.25
1,1,2,80,2,0.5
1,1,2,90,1,0.25
1,1,2,100,0,0.0
1,1,2,110,2,0.5
1,1,3,60,1,0.25
1,1,3,70,0,0.0
1,1,3,80,0,0.0
1,1,3,90,1,0.25
1,1,3,100,0,0.0
1,1,3,110,1,0.25
1,1,4,60,0,0.0
1,1,4,70,0,0.0
1,1,4,80,1,0.25
1,1,4,90,0,0.0
1,1,4,100,1,0.25
1,1,4,110,0,0.0
2,2,1,60,3,0.75
2,2,1,70,2,0.5
2,2,1,80,3,0.75
2,2,1,90,3,0.75
2,2,1,100,1,0.25
2,2,1,110,2,0.5
2,2,2,60,2,0.5
2,2,2,70,3,0.75
2,2,2,80,3,0.75
2,2,2,90,1,0.25
2,2,2,100,3,0.75
2,2,2,110,3,0.75
2,2,3,60,1,0.25
2,2,3,70,1,0.25
2,2,3,80,1,0.25
2,2,3,90,1,0.25
2,2,3,100,1,0.25
2,2,3,110,0,0.0
2,2,4,60,0,0.0
2,2,4,70,1,0.25
2,2,4,80,0,0.0
2,2,4,90,0,0.0
2,2,4,100,0,0.0
2,2,4,110,0,0.0
3,3,1,60,3,0.75
3,3,1,70,3,0.75
3,3,1,80,1,0.25
3,3,1,90,3,0.75
3,3,1,100,1,0.25
3,3,1,110,1,0.25
3,3,2,60,3,0.75
3,3,2,70,2,0.5
3,3,2,80,3,0.75
3,3,2,90,2,0.5
3,3,2,100,3,0.75
3,3,2,110,1,0.25
3,3,3,60,2,0.5
3,3,3,70,0,0.0
3,3,3,80,1,0.25
3,3,3,90,1,0.25
3,3,3,100,1,0.25
3,3,3,110,0,0.0
3,3,4,60,0,0.0
3,3,4,70,2,0.5
3,3,4,80,0,0.0
3,3,4,90,1,0.25
3,3,4,100,0,0.0
3,3,4,110,1,0.25
4,4,1,60,4,1.0
4,4,1,70,3,0.75
4,4,1,80,4,1.0
4,4,1,90,3,0.75
4,4,1,100,3,0.75
4,4,1,110,4,1.0
4,4,2,60,4,1.0
4,4,2,70,4,1.0
4,4,2,80,2,0.5
4,4,2,90,3,0.75
4,4,2,100,3,0.75
4,4,2,110,4,1.0
4,4,3,60,2,0.5
4,4,3,70,1,0.25
4,4,3,80,1,0.25
4,4,3,90,2,0.5
4,4,3,100,1,0.25
4,4,3,110,1,0.25
4,4,4,60,0,0.0
4,4,4,70,0,0.0
4,4,4,80,1,0.25
4,4,4,90,1,0.25
4,4,4,100,1,0.25
4,4,4,110,1,0.25
5,5,1,60,4,1.0
5,5,1,70,4,1.0
5,5,1,80,4,1.0
5,5,1,90,4,1.0
5,5,1,100,4,1.0
5,5,1,110,3,0.75
5,5,2,60,4,1.0
5,5,2,70,4,1.0
5,5,2,80,2,0.5
5,5,2,90,4,1.0
5,5,2,100,3,0.75
5,5,2,110,2,0.5
5,5,3,60,3,0.75
5,5,3,70,1,0.25
5,5,3,80,2,0.5
5,5,3,90,1,0.25
5,5,3,100,2,0.5
5,5,3,110,1,0.25
5,5,4,60,1,0.25
5,5,4,70,1,0.25
5,5,4,80,0,0.0
5,5,4,90,0,0.0
5,5,4,100,0,0.0
5,5,4,110,0,0.0
6,6,1,60,4,1.0
6,6,1,70,3,0.75
6,6,1,80,4,1.0
6,6,1,90,4,1.0
6,6,1,100,4,1.0
6,6,1,110,4,1.0
6,6,2,60,3,0.75
6,6,2,70,3,0.75
6,6,2,80,4,1.0
6,6,2,90,3,0.75
6,6,2,100,3,0.75
6,6,2,110,3,0.75
6,6,3,60,3,0.75
6,6,3,70,1,0.25
6,6,3,80,3,0.75
6,6,3,90,2,0.5
6,6,3,100,2,0.5
6,6,3,110,0,0.0
6,6,4,60,0,0.0
6,6,4,70,1,0.25
6,6,4,80,1,0.25
6,6,4,90,0,0.0
6,6,4,100,0,0.0
6,6,4,110,1,0.25
7,7,1,60,4,1.0
7,7,1,70,4,1.0
7,7,1,80,4,1.0
7,7,1,90,4,1.0
7,7,1,100,4,1.0
7,7,1,110,4,1.0
7,7,2,60,3,0.75
7,7,2,70,4,1.0
7,7,2,80,4,1.0
7,7,2,90,3,0.75
7,7,2,100,1,0.25
7,7,2,110,3,0.75
7,7,3,60,2,0.5
7,7,3,70,1,0.25
7,7,3,80,2,0.5
7,7,3,90,2,0.5
7,7,3,100,1,0.25
7,7,3,110,2,0.5
7,7,4,60,1,0.25
7,7,4,70,0,0.0
7,7,4,80,1,0.25
7,7,4,90,0,0.0
7,7,4,100,1,0.25
7,7,4,110,0,0.0
